Bigass NES Mapper List 0.1 - This document is intended to serve as some sort
of master list for ROMs.  For example, say you find something set to the
wrong mapper, but you have no idea where it should be - check here and save
yourself time.

What it is - A damn near complete list of all the .NES format ROMs out there,
             with a proverbial buttload of entries (don't feel like counting)
             and mapper info for each.  

What it's not - Entirely complete.  There's a rather large number of Japanese
                ROMs missing from this list (Hi, Keropi!) but I don't feel
                that their absence is that big of a deal, considering that
                those particular ROMs are only in the hands of a -very- few
                people.  Consider this a complete list for "findable" ROMs.
                Also, the mirroring info given isn't always to be trusted.
                These just happen to be what mine are set on, so if one doesn't
                work, flip it.

Suggestions - If you have some suggestions for the list, mail me at the address
              below.  Should I divide these up into US/Japanese/Euro, or leave
              it like it is?  Also, what about FDS games - any use in adding
              those?

If you have any questions or whatnot, you can mail me at lugnut@hotmail.com


-

Title                           Size                Mirroring   Mapper
Sarada no Kuni no Tomato Hime   256k PRG / 0k CHR       V       MMC1 (1)
Satomi Hakkenden                128k PRG / 128k CHR     V       MMC1 (1)
SCAT                            128k PRG / 128k CHR     H       MMC1 (1)
SD Gundam Gachapon Senshi 2     128k PRG / 128k CHR     V       MMC3 (4)
SD Gundam Gachapon Senshi 3     128k PRG / 128k CHR     H       MMC3 (4)
SD Gundam Gachapon Senshi 4     256k PRG / 256k CHR     V       MMC3 (4)
SD Gundam Gachapon Senshi 5     128k PRG / 128k CHR     V       MMC3 (4)
SD Gundam Knight Story          256k PRG / 128k CHR     H       Bandai (16)
SD Gundam Knight Story 2        256k PRG / 256k CHR     H       Bandai (16)
SD Gundam Knight Story 3        256k PRG / 256k CHR     V       Bandai (16)
SD Hatori Daisakusen            128k PRG / 128k CHR     H       MMC3 (4)
SD Hero Soukessen               128k PRG / 128k CHR     H       MMC3 (4)
SD Keiji Blader                 128k PRG / 128k CHR     H       Taito X117 (82)
SD Sengoku Busyou Retsuden      128k PRG / 128k CHR     H       MMC3 (4)
Section Z                       128k PRG / 0k CHR       V       UNROM (2)
Seicross                        32k PRG / 8k CHR        V       ---- (0)
Seicross (J)                    32k PRG / 8k CHR        V       ---- (0)
Seikima 2                       32k PRG / 32k CHR       H       CNROM (3)
Seirei Densetsu Lickle          256k PRG / 128k CHR     H       MMC3 (4)
Seirei Gari                     256k PRG / 0k CHR       V       UNROM (2)
Sekiryuu Ou                     128k PRG / 128k CHR     H       MMC1 (1)
Senjou no Ookami                128k PRG / 0k CHR       H       UNROM (2)
Sesame Street 123/ABC           128k PRG / 128k CHR     H       MMC1 (1)
Sesame Street ABC               32k PRG / 32k CHR       H       MMC1 (1)
Shadow Brain                    128k PRG / 256k CHR     V       MMC3 (4)
Shadow of the Ninja             128k PRG / 128k CHR     H       MMC3 (4)
Shadow Warrior                  128k PRG / 128k CHR     H       MMC1 (1)
Shadowgate                      128k PRG / 128k CHR     H       MMC3 (4)
Shadowgate (J)                  128k PRG / 128k CHR     H       MMC3 (4)
Shadowgate (Swedish)            128k PRG / 128k CHR     H       MMC3 (4)
Shaffle Fight                   256k PRG / 0k CHR       H       MMC3 (4)
Shancara                        128k PRG / 128k CHR     V       MMC3 (4)
Shanghai                        128k PRG / 0k CHR       H       UNROM (2)
Shanghai 2                      128k PRG / 0k CHR       V       UNROM (2)
Shatterhand                     128k PRG / 128K CHR     H       MMC3 (4)
Sherlock Holmes                 128k PRG / 0k CHR       H       UNROM (2)
Shikin Jyou                     128k PRG / 0k CHR       H       MMC1 (1)
Shin Satomi Hakkenden           256k PRG / 0k CHR       H       MMC1 (1)
Shingen The Ruler               256k PRG / 0k CHR       H       MMC1 (1)
Shinobi                         128k PRG / 128k CHR     H       Rambo-1 (64)
Shinsenden                      256k PRG / 0k CHR       V       MMC1 (1)
Shisen Mahjong Seifukuhen       32k PRG / 64k CHR       H       CNROM (3)
Shogun                          128k PRG / 0k CHR       H       MMC1 (1)
Shonen Ashibe                   128k PRG / 128k CHR     V       MMC3 (4)
Shufflepuck Cafe                128k PRG / 0k CHR       H       UNROM (2)        
Side Pocket                     128k PRG / 0k CHR       H       UNROM (2)
Side Pocket (J)                 128k PRG / 32k CHR      H       MMC3 (4)
Sijyou Saidai Quiz ou Ketteisen 128k PRG / 0k CHR       V       MMC1 (1)
Silent Assault                  64k PRG / 64k CHR       H       Colour Dreams (11)
Silent Service                  128k PRG / 0k CHR       V       UNROM (2)
Silent Service (PAL)            128k PRG / 0k CHR       V       UNROM (2)
Silkworm                        128k PRG / 128k CHR     V       MMC1 (1)
Silva Saga                      256k PRG / 256k CHR     H       MMC3 (4)
Silver Surfer                   128k PRG / 256k CHR     H       MMC3 (4)
Sinjinrui                       32k PRG / 32k CHR       V       CNROM (3)
Skate or Die                    128k PRG / 0k CHR       V       UNROM (2)
Skate or Die 2                  256k PRG / 128k CHR     V       MMC1 (1)
Ski or Die                      128k PRG / 128k CHR     H       MMC1 (1)
Sky Destroyer                   16k PRG / 8k CHR        H       ---- (0)
Sky Kid                         32k PRG / 64k CHR       H       MMC1 (1)
Sky Kid (J)                     32k PRG / 32k CHR       V       MMC3 (4) 
Sky Shark                       64k PRG / 128k CHR      H       MMC1 (1)
Slalom                          32k PRG / 8k CHR        H       ---- (0)
Slalom (PAL)                    32k PRG / 8k CHR        H       ---- (0)
Smash Ping Pong (Disk Conv.)    32k PRG / 16k CHR       H       CNROM (3)  (uses .sav file to load)
Smash TV                        128k PRG / 112k CHR     H       MMC3 (4)  <--probably an incomplete dump
SMB / Duck Hunt / WC Track Meet 128k PRG / 64k CHR      H       MMC1 (1)
SMB / Tetris / Nint. World Cup  64k PRG / 128k CHR      H       MMC3 (4)
Snake Rattle N' Roll            32k PRG / 32k CHR       H       MMC1 (1)
Snake Rattle N' Roll (PAL)      32k PRG / 32k CHR       H       MMC1 (1)
Snake's Revenge                 128k PRG / 128k CHR     H       MMC1 (1)
Snoopy's Magic Show             128k PRG / 128k CHR     V       MMC1 (1)
Snow Bros                       128k PRG / 128k CHR     H       MMC1 (1)
Soap Panic                      32k PRG / 32k CHR       V       CNROM (3)
Soccer                          32k PRG / 8k CHR        H       ---- (0)
Soccer (Disk Conversion)        32k PRG / 8k CHR        H       ---- (0)  (uses a .sav to load)
Softball Tengoku                128k PRG / 128k CHR     H       MMC1 (1)
Solar Jetman                    256k PRG / 0k CHR       H       AOROM (7)
Solar Jetman (PAL)              256k PRG / 0k CHR       H       AOROM (7)
Solomon no Kagi                 32k PRG / 32k CHR       H       CNROM (3)
Solomon no Kagi 2               128k PRG / 128k CHR     V       MMC3 (4)
Solomon's Key                   32k PRG / 32k CHR       H       CNROM (3)
Solstice                        128k PRG / 0k CHR       H       AOROM (7)
Solstice (J)                    128k PRG / 0k CHR       H       AOROM (7)
SoMari                          256k PRG / 256k CHR     H       MMC3 (4)
Son Son                         32k PRG / 8k CHR        H       ---- (0)
Space Harrier                   128k PRG / 0k CHR       V       UNROM (2)
Space Hunter                    32k PRG / 32k CHR       H       CNROM (3)
Space Invaders                  16k PRG / 8k CHR        V       ---- (0)
Space Shuttle Project           256k PRG / 0k CHR       V       MMC1 (1)
Spartan X                       32k PRG / 8k CHR        V       ---- (0)
Spartan X2  [Hacked]            128k PRG / 128k CHR     V       FFE F8xxx (17)
Spelunker (J)                   32k PRG / 8k CHR        V       ---- (0)
Spelunker 2                     128k PRG / 0k CHR       V       UNROM (2)
Spider-Man                      128k PRG / 208k CHR     H       MMC3 (4)  <--probable bad dump
Spiritual Warfare               128k PRG / 128k CHR     V       Colour Dreams (11)        
Splatterhouse                   128k PRG / 128k CHR     H       Namcot 106  (19)
Spot                            128k PRG / 0k CHR       V       MMC1 (1)
Spy Hunter                      32k PRG / 32k CHR       V       CNROM (3)
Spy Vs. Spy (J)                 32k PRG / 8k CHR        V       ---- (0)
Sqoon                           32k PRG / 16k CHR       V       CNROM (3)
Sqoon (J)                       32k PRG / 8k CHR        V       ---- (0)
Square no Tom Sawyer            256k PRG / 0k CHR       H       MMC1 (1)
Stanley                         128k PRG / 128k CHR     H       MMC3 (4)
Star Force                      32k PRG / 32k CHR       V       CNROM (3)
Star Force (J)                  16k PRG / 8k CHR        V       ---- (0)
Star Gate                       16k PRG / 8k CHR        V       ---- (0)
Star Luster                     32k PRG / 8k CHR        H       ---- (0)
Star Soldier (J)                32k PRG / 16k CHR       V       CNROM (3)
Star Trek                       256k PRG / 256k CHR     H       MMC3 (4)
Star Trek - The Next Generation 128k PRG / 0k CHR       H       UNROM (2)
Star Voyager                    32k PRG / 32k CHR       H       CNROM (3)
Star Wars                       128k PRG / 128k CHR     H       MMC3 (4)
Star Wars (J - Namco version)   128k PRG / 128k CHR     H       MMC3 (4)
Star Wars (PAL)                 128k PRG / 128k CHR     H       MMC3 (4)
Starship Hector                 128k PRG / 0k CHR       V       UNROM (2)
Startropics                     256k PRG / 256k CHR     V       MMC3 (4)  <--proper chip (MMC6) unsupported
Startropics 2                   256k PRG / 256k CHR     H       MMC3 (4)  <--proper chip (MMC6) unsupported
Stealth ATF                     128k PRG / 128k CHR     H       MMC1 (1)
Stealth ATF (PAL)               128k PRG / 128k CHR     H       MMC1 (1)
Sted Iseki Wakusei no Yabou     128k PRG / 128k CHR     H       MMC1 (1)
Stick Hunter                    128k PRG / 0k CHR       V       UNROM (2)
Stinger                         128k PRG / 0k CHR       V       UNROM (2)
Street Cop                      128k PRG / 128k CHR     H       MMC1 (1)
Street Fighter 2010             128k PRG / 128k CHR     H       MMC3 (4)
Street Fighter 3                128k PRG / 512k CHR     V       HK-SF3 (91)
Strider                         256k PRG / 0k CHR       V       MMC1 (1)
Sugoro Quest                    128k PRG / 128k CHR     V       MMC3 (4)
Sukeban Deka 3                  128k PRG / 0k CHR       H       UNROM (2)
Super Arabian                   16k PRG / 8k CHR        H       ---- (0)
Super Black Onyx		256k PRG / 0k CHR	V	MMC1 (1)
Super Chinese Land              32k PRG / 16k CHR       H       MMC3 (4)
Super Chinese Land 2            128k PRG / 128k CHR     H       MMC3 (4)
Super Chinese Land 3		128k PRG / 128k CHR	H	MMC1 (1)
Super C                         128k PRG / 120k CHR     H       MMC3 (4)  <--missing another 8k CHR page
Super Cars                      128k PRG / 0k CHR       H       UNROM (2)
Super Contra                    128k PRG / 128k CHR     V       MMC3 (4)
Super Dodge Ball                128k PRG / 128k CHR     H       MMC1 (1)        
Super Donkey Kong 2		128k PRG / 256k CHR	V	MMC3 (4)
Super Dynamix Badminton         32k PRG / 8k CHR        V       ---- (0)
Super Express Satsujin Jiken    128k PRG / 128k CHR     V       MMC3 (4)
Super Glove Ball                128k PRG / 0k CHR       V       UNROM (2)
Super Mario Bros                32k PRG / 8k CHR        V       ---- (0)
Super Mario Bros (PAL)          32k PRG / 8k CHR        V       ---- (0)
Super Mario Bros (Disk Conv.)   32k PRG / 8k CHR        H       ---- (0)  (loads using a .sav)
Super Mario Bros / Duck Hunt    64k PRG / 16K CHR       H       74161/32 (66)
Super Mario Bros 2              128k PRG / 128k CHR     H       MMC3 (4)
Super Mario Bros 2 (-1 PRG rev.)128k PRG / 128k CHR     H       MMC3 (4)
Super Mario Bros 3              256k PRG / 128k CHR     H       MMC3 (4)
Super Mario Bros 3 (-1 PRG Rev.)256k PRG / 128k CHR     H       MMC3 (4)
Super Mario Bros 3 (J)          256k PRG / 128k CHR     H       MMC3 (4)
Super Mario Bros 3 (PAL)        256k PRG / 128k CHR     H       MMC3 (4)
Super Mario USA                 128k PRG / 128k CHR     V       MMC3 (4)
Super Momotarou Densetsu        256k PRG / 0k CHR       H       MMC1 (1)
Super Monkey Daibouken          32k PRG / 32k CHR       V       CNROM (3)
Super Off Road                  128k PRG / 0k CHR       V       AOROM (7)
Super Pinball                   128k PRG / 0k CHR       H       UNROM (2)
Super Pitfall                   128k PRG / 0k CHR       V       UNROM (2)
Super Pitfall (J)               128k PRG / 0k CHR       V       UNROM (2)
Super Real Baseball             128k PRG / 128k CHR     H       MMC1 (1)
Super Robot Taisen 2            256k PRG / 256k CHR     H       MMC3 (4)
Super Spike V'Ball              128k PRG / 128k CHR     H       MMC3 (4)
Super Spike V'Ball/Nintendo World Cup   128k PRG / 128k CHR     H       MMC3 (4) <--missing about 256k?
Super Sprint                    128k PRG / 128k CHR     V       MMC3 (4)
Super Spy Hunter                128k PRG / 128k CHR     H       MMC3 (4)
Super Star Force                128k PRG / 0k CHR       V       UNROM (2)
Super Team Games                32k PRG / 32k CHR       H       CNROM (3)        
Super Turrican (PAL)            128k PRG / 128k CHR     H       MMC3 (4)
Super Xevious                   128k PRG / 32k CHR      H       MMC3 (4)
Superman                        128k PRG / 128k CHR     V       MMC1 (1)
Superman (J)                    128k PRG / 128k CHR     H       MMC1 (1)
Swamp Thing                     128k PRG / 128k CHR     H       MMC1 (1)
Swat                            128k PRG / 0k CHR       V       UNROM (2)
Sweet Home                      256k PRG / 0k CHR       H       MMC1 (1)
Sword Master                    128k PRG / 128k CHR     H       MMC3 (4)
Sword Master (J)                128k PRG / 128k CHR     H       MMC3 (4)
Swords and Serpents             128k PRG / 0k CHR       V       UNROM (2)
Syoukousi Sedy                  256k PRG / 0k CHR       V       MMC1 (1)


T&C Surf Design                 32k PRG / 32k CHR       V       CNROM (3)
T&C Surf Design 2               128k PRG / 128k CHR     H       MMC3 (4)
Taboo                           32k PRG / 32k CHR       H       MMC1 (1)
Tag Team Pro Wrestling          32k PRG / 8k CHR        H       ---- (0)
Tag Team Wrestling              32k PRG / 8k CHR        H       ---- (0)
Tagin' Dragon                   32k PRG / 16k CHR       V       Colour Dreams (11)
Taito Grand Prix                128k PRG / 128k CHR     H       Taito X005 (80)
Taiyou no Sinden                256k PRG / 0k CHR       V       MMC1 (1)
Takahasi Meijin no Boukenjima   32k PRG / 32k CHR       V       CNROM (3)
Takahasi Meijin no Boukenjima 2	128k PRG / 128k CHR	H	MMC3 (4)
Takahasi Meijin no Boukenjima 3	128k PRG / 128k CHR	H	MMC3 (4)
Takahasi Meijin no Boukenjima 4	256k PRG / 128k CHR	H	MMC3 (4)
Takahasi Meijin no Bug Hunny	128k PRG / 32k CHR	H	Nina-1 (34)  <--probably a mapper hack
Takeda Shingen                  128k PRG / 0k CHR       V       UNROM (2)
Takeda Shingen 2                256k PRG / 0k CHR       V       MMC1 (1)
Takeshi no Chousen Jyou         128k PRG / 0k CHR       V       UNROM (2)
Takeshi no Sengoku Fuunji       128k PRG / 128k CHR     H       MMC3 (4)
Tale Spin                       128k PRG / 128k CHR     H       MMC1 (1)
Tanikawa Kouji no Shogi Sinan 3 128k PRG / 0k CHR       H       MMC1 (1)
Tantei Jingujii Saburou Tokino Sugiyukumamani   128k PRG / 0k CHR       H       UNROM (2)
Tao                             128k PRG / 128k CHR     V       MMC1 (1)
Target Renegade                 128k PRG / 128k CHR     V       MMC1 (1)
Tashiro Musasi no Princess Galppai      128k PRG / 128k CHR     V       MMC1 (1)
Tatakae Ramen Man               128k PRG / 128k CHR     V       MMC1 (1)
Tatakai no Banka                128k PRG / 0k CHR       V       UNROM (2)        
Tecmo Baseball                  128k PRG / 0k CHR       V       MMC1 (1)
Tecmo Bowl                      128k PRG / 128k CHR     V       MMC1 (1)
Tecmo Cup Soccer                128k PRG / 128k CHR     H       MMC1 (1)
Tecmo NBA Basketball            128k PRG / 256k CHR     H       MMC3 (4)
Tecmo Super Bowl                256k PRG / 128k CHR     H       MMC3 (4)
Tecmo World Wrestling           128k PRG / 128k CHR     H       MMC1 (1)
Tecmo World Wrestling (PAL)     128k PRG / 128k CHR     H       MMC1 (1)
Teenage Mutant Hero Turtles     128k PRG / 128k CHR     H       MMC1 (1)
Teenage Mutant Ninja Turtles    128k PRG / 128k CHR     H       MMC1 (1)
Teenage Mutant Ninja Turtles PAL128k PRG / 128k CHR     H       MMC1 (1)
Teenage Mutant Ninja Turtles 2  256k PRG / 256k CHR     H       MMC3 (4)
Teenage Mutant Ninja Turtles 3  256k PRG / 256k CHR     H       MMC3 (4)
Tekken 2                        128k PRG / 512k CHR     V       PCJY?? (90)
Tenchi wo Kurau                 256k PRG / 0k CHR       V       MMC1 (1)
Tenchi wo Kurau 2               512k PRG / 0k CHR       V       MMC3 (4)
Tennis                          16k PRG / 8k CHR        V       ---- (0)
Terminator, The                 128k PRG / 128k CHR     H       MMC3 (4)
Terminator 2                    128k PRG / 128k CHR     H       MMC3 (4)
Terminator 2 (Beta Version)     128k PRG / 128k CHR     H       MMC3 (4)
Terminator 2 (J)                128k PRG / 128k CHR     H       MMC3 (4)      
Terra Cresta (J)                128k PRG / 0k CHR       H       UNROM (2)
Tetrastar                       256k PRG / 256k CHR     V       MMC3 (4)
Tetris                          32k PRG / 128k CHR      V       MMC1 (1)
Tetris (Tengen)                 32k PRG / 16K CHR       V       CNROM (3)
Tetris (J)			32k PRG / 32k CHR	V	CNROM (3)
Tetris 2                        128k PRG / 104k CHR     H       MMC3 (4)  <--missing 24k
Tetris 2 (PAL)                  128k PRG / 128k CHR     H       MMC3 (4)
Tetris 2 + Bombliss             128k PRG / 0k CHR       H       MMC1 (1)
Tetris Flash                    128k PRG / 128k CHR     H       MMC3 (4)
Tetsuwan Atom			128k PRG / 128k CHR	H	MMC3 (4)
Tetudouou			32k PRG / 32k CHR	V	CNROM (3)
Thexder                         32k PRG / 8k CHR        H       ---- (0)
Three Stooges, The              128k PRG / 128k CHR     H       MMC1 (1)
Thunder and Lightning           128k PRG / 128k CHR     V       MMC1 (1)  <--bad dump
Thunderbirds                    128k PRG / 128k CHR     H       MMC1 (1)
Thunderbirds (J)                128k PRG / 128k CHR     V       MMC1 (1)
Thundercade                     128k PRG / 0k CHR       H       UNROM (2)  
Tiger-Heli (J)                  32k PRG / 32k CHR       H       CNROM (3)
Time Lord                       128k PRG / 0k CHR       H       AOROM (7)
Time Lord (PAL)                 128k PRG / 0k CHR       H       AOROM (7)
Time Stranger                   128k PRG / 0k CHR       V       UNROM (2)
Time Zone                       128k PRG / 128k CHR     H       MMC3 (4)
Times of Lore                   128k PRG / 0k CHR       V       UNROM (2)
Tiny Toon Adventures            128k PRG / 128k CHR     H       MMC3 (4)
Tiny Toon Adventures 2          128k PRG / 128k CHR     H       MMC3 (4)
Tiny Toons Cartoon Workshop	128k PRG / 128k CHR	H	MMC3 (4)
Titan                           128k PRG / 0k CHR       V       MMC1 (1)
Titei Senkuu Bazoruda		128k PRG / 128k CHR	V	MMC3 (4)
TM Network Live At Power Bowl   128k PRG / 128k CHR     H       MMC3 (4)
Tobidase Daisakusen 2           128k PRG / 0k CHR       V       UNROM (2)
Toki                            128k PRG / 256k CHR     H       MMC3 (4)
Tokorosan no Mamoru             32k PRG / 32k CHR       V       CNROM (3)
Tokyukyuu Seirei Solbrain       128k PRG / 128k CHR     H       MMC3 (4)
Tom and Jerry                   128k PRG / 128k CHR     H       MMC3 (4)
Tombs and Treasure              256k PRG / 0k CHR       V       MMC1 (1)
Tonjan                          128k PRG / 128k CHR     H       MMC1 (1)        
Toobin'                         128k PRG / 64k CHR      H       MMC3 (4)
Top Gun                         128k PRG / 0k CHR       H       UNROM (2)
Top Gun - The Second Mission    128k PRG / 128k CHR     H       MMC3 (4)
Top Players Tennis              128k PRG / 128k CHR     V       MMC1 (1)
Total Recall                    128k PRG / 0k CHR       V       UNROM (2)
Totally Rad                     128k PRG / 128k CHR     H       MMC3 (4)
Totsuzen Macyoman               128k PRG / 0k CHR       V       UNROM (2)
Touch                           128k PRG / 0k CHR       V       UNROM (2)
Touchdown Fever                 128k PRG / 32k CHR      H       MMC1 (1)
Touchdown Fever (J)             128k PRG / 32k CHR      H       MMC1 (1)
Touhou Kenbunroku               128k PRG / 128k CHR     H       MMC1 (1)
Toukaidou 53 Tugi		32k PRG / 32k CHR	V	CNROM (3)
Tower of Druaga, The            32k PRG / 8k CHR        V       ---- (0)
Toxic Crusaders                 128k PRG / 128k CHR     H       MMC3 (4)
Track and Field 2               128k PRG / 128k CHR     H       MMC1 (1)        
Track and Field 2 (PAL)         128k PRG / 128k CHR     H       MMC1 (1)
Transformers Combo              32k PRG / 32k CHR       V       CNROM (3)
Triathron, The                  128k PRG / 128k CHR     V       MMC1 (1)
Trog                            128k PRG / 0k CHR       V       UNROM (2)
Trojan                          128k PRG / 0k CHR       V       UNROM (2)
Trojan (PAL)                    128k PRG / 0k CHR       V       UNROM (2)
Trolls on Treasure Island       32k PRG / 32k CHR       V       AVE (79)
Tsuppari Oozomou                32k PRG / 32k CHR       V       CNROM (3)
Tsuppari Wars                   128k PRG / 128k CHR     H       MMC1 (1)
Turbo Racing                    128k PRG / 128k CHR     H       MMC1 (1)
Turikiti Sanpei Blue		128k PRG / 0k CHR	V	UNROM (2)
Turupika Higemaru               128k PRG / 128k CHR     H       SS8806 (18)
Twin Cobra                      128k PRG / 128k CHR     H       MMC3 (4)
Twinbee                         32k PRG / 16k CHR       H       CNROM (3)
Twinbee (Disk Conversion)       32k PRG / 0k CHR        H       ---- (0)  (loads using .sav file)
Twinbee 3                       128k PRG / 128k CHR     H       VRC4-1B (22)


Uddy Poko                       128k PRG / 0k CHR       V       UNROM (2)
Ultima - Exodus                 256k PRG / 0k CHR       V       MMC1 (1)        
Ultima - Exodus (J)             256k PRG / 0k CHR       H       MMC1 (1)
Ultima - Quest of the Avatar    256k PRG / 0k CHR       V       MMC1 (1)
Ultima - Quest of the Avatar (J)256k PRG / 0k CHR       H       MMC1 (1)
Ultima - Warriors of Destiny    256k PRG / 0k CHR       H       MMC1 (1)
Ultimate Air Combat             256k PRG / 256k CHR     H       MMC3 (4)
Ultimate Basketball             128k PRG / 128k CHR     H       MMC3 (4)
Ultimate League Soccer          32k PRG / 64k CHR       H       AVE (79)
Ultimate Stuntman               256k PRG / 0k CHR       V       Camerica (71)
Ultraman Club 2                 128k PRG / 128k CHR     H       MMC3 (4)
Ultraman Club 3                 256k PRG / 128k CHR     H       MMC3 (4)
Uncharted Waters                512k PRG / 128k CHR     H       MMC5 (5)
Uninvited                       128k PRG / 128k CHR     H       MMC3 (4)
Untouchables, The               128k PRG / 128k CHR     H       MMC1 (1)        
Urban Champion                  16k PRG / 8k CHR        V       ---- (0)
Urusei Yatsura                  32k PRG / 32k CHR       V       CNROM (3)
US Championship V'Ball		128k PRG / 128k CHR	V	MMC3 (4)
Uturun Desu                     128k PRG / 128k CHR     V       MMC3 (4)


Valis                           128k PRG / 0k CHR       V       UNROM (2)
Valkyure no Bouken              32k PRG / 32k CHR       H       MMC3 (4)
Vegas Connection                256k PRG / 0k CHR       V       MMC1 (1)
Vegas Dream                     128k PRG / 128k CHR     H       MMC1 (1)
Venice Beach Volleyball         32k PRG / 32k CHR       V       AVE (79)
Venus Wars, The                 128k PRG / 128k CHR     V       MMC1 (1)
Vice - Project Doom             128k PRG / 128k CHR     H       MMC3 (4)
Villgust Gaiden                 128k PRG / 256k CHR     V       MMC3 (4)
Vindicators                     64k PRG / 32k CHR       V       MMC3 (4)
Viva Las Vegas                  128k PRG / 128k CHR     V       MMC1 (1)
Volguard 2                      32k PRG / 8k CHR        V       ---- (0)
Volleyball                      32k PRG / 16k CHR       V       CNROM (3)
Volleyball (Disk Conversion)    32k PRG / 8k CHR        H       ---- (0)  (loads with .sav)
Vs. Castlevania                 128k PRG / 0k CHR       V       Unisystem (99)
Vs. Ice Climber                 32k PRG / 16k CHR       V       Unisystem (99)
Vs. Super Mario Bros            32k PRG / 16k CHR       V       Unisystem (99)


Wacky Races                     128k PRG / 128k CHR     H       MMC3 (4)
Wagyan Land                     128k PRG / 64k CHR      V       MMC3 (4)
Wagyan Land 2                   256k PRG / 128k CHR     H       Namcot 106 (19)
Wagyan Land 3                   256k PRG / 256k CHR     H       Namcot 106 (19)
Wai Wai World                   128k PRG / 128k CHR     H       VRC2b (23)
Wai Wai World (Hacked)          128k PRG / 128k CHR     H       FFE F8xxx (17)
Wai Wai World 2                 256k PRG / 128k CHR     H       VRC4-2a (21)
Wairi no Write Rockboard        256k PRG / 0k CHR       H       MMC3 (4)
Wall Street Kid                 128k PRG / 0k CHR       H       UNROM (2)
Wanpaku Duck Yumebouken         128k PRG / 0k CHR       V       UNROM (2)
Wanpaku Kokkun no Gurume World  128k PRG / 128k CHR     H       MMC3 (4)
Wario no Mori                   256k PRG / 256k CHR     V       MMC3 (4)
Wario's Woods                   256k PRG / 256k CHR     H       MMC3 (4)
Warpman                         16k PRG / 8k CHR        H       ---- (0)
Warwolf                         128k PRG / 128k CHR     V       MMC3 (4)
Wayne Gretzky Hockey            128k PRG / 0k CHR       V       UNROM (2)
Wayne's World                   128k PRG / 128k CHR     H       MMC3 (4)
WCW Championship Wrestling      128k PRG / 128k CHR     H       MMC3 (4)
Werewolf                        128k PRG / 128k CHR     H       MMC3 (4)
Western Kids                    256k PRG / 256k CHR     V       MMC3 (4)
Wheel of Fortune                128k PRG / 0k CHR       H       AOROM (7)
Wheel of Fortune Family Edition 128k PRG / 0k CHR       H       AOROM (7)
Wheel of Fortune W/ Vanna White 128k PRG / 0k CHR       H       AOROM (7)
Where in Time is Carmen Sandiego128k PRG / 256k CHR     H       MMC3 (4)
Where's Waldo?                  128k PRG / 128k CHR     H       MMC3 (4)
White Lion Densetsu             128k PRG / 128k CHR     V       MMC1 (1)
Who Framed Roger Rabbit?        128k PRG / 0k CHR       H       AOROM (7)
Whomp 'Em                       128k PRG / 128k CHR     H       MMC3 (4)
Widget                          128k PRG / 128k CHR     H       MMC3 (4)
Wild Gunman                     16k PRG / 8k CHR        V       ---- (0)
Willow                          128k PRG / 128k CHR     H       MMC1 (1)
Willow (J)                      128k PRG / 128k CHR     H       MMC1 (1)
Win, Lose, or Draw              128k PRG / 0k CHR       H       MMC1 (1)
Wing of Madoola, The            32k PRG / 128k CHR      V       CNROM (3)
Winter Games                    128k PRG / 0k CHR       H       UNROM (2)
Wits                            128k PRG / 0k CHR       V       UNROM (2)
Wizardry - Knight of Diamonds   128k PRG / 128k CHR     H       MMC3 (4)
Wizardry - Knight of Diamonds(J)128k PRG / 128k CHR     V       MMC3 (4)
Wizardry - Legacy of Lyllgamyn  128k PRG / 128k CHR     H       MMC3 (4)
Wizardry - Proving Grounds      128k PRG / 128k CHR     V       MMC1 (1)
Wizardry - Proving Grounds (J)  128k PRG / 128k CHR     V       MMC1 (1)
Wizards and Warriors            128k PRG / 0k CHR       H       AOROM (7)
Wizards and Warriors (PAL)      128k PRG / 0k CHR       H       AOROM (7)
Wizards and Warriors 2          256k PRG / 0k CHR       H       AOROM (7)
Wizards and Warriors 3          256k PRG / 0k CHR       H       AOROM (7)
Wolverine                       128k PRG / 128k CHR     H       MMC3 (4)
World Boxing                    128k PRG / 128k CHR     H       MMC1 (1)
World Games                     128k PRG / 0k CHR       H       AOROM (7)
World Super Tennis              128k PRG / 128k CHR     V       MMC1 (1)
Wrath of the Black Manta        128k PRG / 128k CHR     V       MMC1 (1)
Wrecking Crew                   32k PRG / 8k CHR        H       ---- (0)
Wurm                            128k PRG / 128k CHR     H       MMC3 (4)
WWF King of the Ring            128k PRG / 256k CHR     H       MMC3 (4)
WWF Steel Cage Challenge        128k PRG / 256k CHR     H       MMC3 (4)
WWF Steel Cage Challenge (PAL)  128k PRG / 256k CHR     H       MMC3 (4)
WWF Wrestlemania                128k PRG / 0k CHR       H       AOROM (7)
WWF Wrestlemania Challenge      256k PRG / 0k CHR       H       AOROM (7)


X-Men                           128k PRG / 0k CHR       H       UNROM (2)
Xenophobe                       128k PRG / 128k CHR     H       MMC1 (1)
Xevious (J)                     32k PRG / 8k CHR        H       ---- (0)
Xexyz                           128k PRG / 128k CHR     H       MMC1 (1)


Y's                             256k PRG / 0k CHR       H       MMC1 (1)
Y's 2                           256k PRG / 128k CHR     V       MMC3 (4)
Y's 3                           256k PRG / 128k CHR     H       MMC3 (4)
